Publisher,Regional Preference/Origin Location,Website,Subjects,Genre,No. of Books Published (last 5 yrs),Max. Publications' Year,Max. Publications' Season,Manuscript Needed (Y/N),Chapters Needed (Y/N),requires_agent,peer_reviewed,proposal_required,academic_focus,religious_focus,in_house,open_calls,Miscellaneous Submission Requirements,Promotion Channels,Titles/Industry Recognitions
The Monacelli Press,"New York, United States",https://www.monacellipress.com/,"Photography, Gardening, Art",Multi,75,2022,Spring,Y,Y,N,N,N,N,None,N,N,High-end art/design/photography books; see guidelines,"Art/design stores, museums, global distribution",Known for premium art & design coffee-table books
eBook Voice,"San Antonio, United States",https://www.ebookvoice.com/,"Hobby, History, Health, Gardening, Fitness, Finance, Education, Economics",Multi,35,2023,Spring,Y,N,N,N,N,N,None,N,N,Open to short e-book nonfic proposals; see site,"E-book platforms, direct marketing, social media",Digital-first small press
Divertir Publishing,"North Salem, United States",https://www.divertirpublishing.com/,"Thriller, Spirituality, Self-Help, Religion, Politics, Hobby, History, Current Affairs",Multi,35,2022,Fall,Y,N,N,N,N,N,None,N,N,"Open to multi-genre proposals, see guidelines for specifics","Indie distribution, online marketing, small press cons",Eclectic small press
"A K Peters, Ltd.","Wellesley, United States",https://www.akpeters.com/,"Text, Science, Mathematics, Games, Crafts, Computer, Biography",Multi,50,2021,Winter,Y,N,N,N,N,Y,None,N,N,Academic & specialized references in math/computer; see site,"Academic libraries, university partnerships, direct distribution",Acquired by CRC Press/Taylor & Francis; recognized in math/CS
Otherworld Publications LLC,"Louisville, United States",https://www.otherworldpublications.com/,Fiction,Fiction,35,2021,Summer,Y,N,N,N,N,N,None,N,N,Open to general fiction & subgenres; check for reading periods,"Online marketing, local bookstore distribution, social media",Small indie fiction press
Healthy Learning,"Monterey, United States",https://www.healthylearning.com/,"Teaching, Sports, Self-Help, Science, Nursing, Medical, Health, Fitness",Multi,75,2020,Fall,Y,Y,N,N,N,N,None,N,N,Related to Coaches Choice brand; health/fitness proposals,"Conferences, direct to instructors, library marketing",Specializes in health/fitness education
Pegasus Communications,"Waltham, United States",https://www.pegasuscom.com/,"Education, Children's, Business",Multi,35,2019,Winter,Y,Y,N,N,N,N,None,N,N,Focus on systems thinking in organizations & schools; see site,"Workshops, corporate training, educational conferences",Notable in organizational learning & system dynamics
Books Launch Vast New Possibilities (BLVNP) Incorporated,"Walnut, United States",https://www.blvnp.com/,"Juvenile, Humour, How To, Graphic Novel, Fiction, Fantasy, Essays, Cookbook",Multi,35,2020,Fall,Y,N,N,N,N,N,None,N,N,Open to wide variety of proposals; see site for new author calls,"Online marketing, library distribution, multi-genre approach",Small press with eclectic catalog
Marick Press,"Grosse Pointe Park, United States",https://www.marickpress.com/,"Poetry, Literature, Language, Foreign Language, Fiction, Criticism",Multi,50,2019,Spring,Y,Y,N,N,N,N,None,N,N,Focus on poetry/lit in translation; queries via site/email,"Poetry events, small press fairs, library distribution",Award-winning poetry/lit in translation press
Parkstone Press US,"New York, United States",https://www.parkstonepress.com/,Art,Art,75,2020,Fall,N,N,N,N,N,N,None,N,N,"High-end art books, mostly curated projects; see website","Museum shops, art galleries, international distribution",Renowned for fine art monographs & coffee-table books
Open Books Press,"Bloomington, United States",https://www.openbookspress.com/,"Mystery, Memoir, Literary Fiction, Juvenile, Historical Fiction, General Fiction, Fiction, Education",Multi,35,2020,Winter,Y,Y,N,N,N,N,None,N,N,Open to a range of genres; see submission guidelines,"Online distribution, social media, small bookstore outreach",Indie press with broad multi-genre approach
Third Coast Publishers LLP,"Houston, United States",https://www.thirdcoastpublishers.com/,"Travel, Text, Technology, Software, Self-Help, Romance, Poster, Poetry",Multi,50,2022,Fall,Y,N,N,N,N,N,None,N,N,"Diverse categories, prefer unique approaches; queries welcome","Niche marketing, digital channels, local events",Small eclectic publisher
Mathew Price Ltd.,"Denton, United States",https://www.mathewprice.com/,"Picture Books, Horror, Fiction, Education, Children's, Board Books",Multi,100,2023,Fall,Y,N,N,N,N,N,None,N,N,Focus on children’s + some adult horror lines; see site,"Library distribution, children’s fairs, horror cons",Unusual mix of kids’ board books & horror
Mediaplanet Inc.,"Chicago, United States",https://www.mediaplanet.com/,,,35,2020,Fall,Y,Y,N,N,N,N,None,N,N,Primarily custom content marketing; see brand collaborations,"Sponsored content, B2B outreach, custom publishing deals",Produces special-interest “advertorial” inserts
Grace Notes Books,"Ventura, United States",https://www.gracenotesbooks.com/,"Poetry, Photography, Literature, Fiction, Essays, Crafts, Art",Multi,35,2021,Fall,Y,Y,N,N,N,N,None,N,N,Open to artistic and literary proposals; see guidelines,"Art fairs, poetry readings, local bookstore signings",Small arts/literary press
"Quality Medical Publishing, Inc.","St Louis, United States",www.qualitymedicalpublishing.com,Medical,Medical,75,2019,Winter,Y,N,N,N,Y,N,None,N,N,Professional medical textbooks; proposals from qualified experts,"Medical conferences, academic channels, library distribution",Recognized for surgical/clinical references
"Feenixx Publishing, Inc.","Petersburg, United States",www.feenixxpublishing.com,"Transportation, Technology, Science, Poster, Natural History, Hobby, History, Education",Multi,75,2020,Summer,Y,N,N,N,N,N,None,N,N,Focus on educational posters/books; see site for proposals,"School/education supply, museum shops, library marketing",Specialty in posters & visual educational resources
Productivity Press,"New York, United States",www.productivitypress.com,Business,Business,100,2024,Summer,N,Y,Y,N,N,N,None,N,N,Lean/operational excellence topics; typically agented or proposals,"Professional networks, corporate training, library distribution",Industry leader in lean management & business improvement titles
Sweetwater Still Publishing,United States,www.sweetwaterstillpublishing.com,"Religion, Relationship, Parenting, Novel, Music, Literature, Juvenile, Graphic Novel",Multi,35,2020,Summer,Y,N,N,N,N,N,Christian,N,N,Christian/family values focus; see site for queries,"Church channels, online marketing, small press fairs",Small Christian/family-themed publisher
"Bridge Publications, Inc.","Los Angeles, United States",www.bridgepub.com,Science,Science,75,2021,Summer,N,N,N,N,N,N,None,N,N,Publishes L. Ron Hubbard works (Scientology-related); closed to general,"Distribution to Scientology centers, direct marketing",Primary publisher of Dianetics/Scientology materials
Escape Collective Publishing,"Lacey, United States",www.escape-collective.com,Fiction,Fiction,35,2021,Winter,Y,Y,N,N,N,N,None,N,N,"Open to new authors, multiple fiction genres; see guidelines","Indie bookstore signings, online, social media promotions",Small press fostering debut fiction
Classroom Complete Press,"San Diego, United States",www.classroomcompletepress.com,Education,Education,100,2020,Summer,Y,Y,N,N,N,N,None,N,N,Supplemental K-12 resource focus; see site for proposals,"School channels, teacher conferences, library distribution",Known for reproducible classroom workbooks
HaMaR Percussion Publications,"Huntington, United States",www.hamarpublishing.com,Music,Music,35,2023,Spring,Y,N,N,N,N,N,None,N,N,"Percussion-specific method books, see site for guidelines","Music educators, specialty music shops, direct marketing",Respected in percussion education
bonbon Kids Magazine,"Falls Church, United States",www.bonbonkidsmagazine.com,Children's,Children's,75,2021,Spring,N,Y,N,N,N,N,None,N,Y,Magazine format for kids; open calls for short stories/activities,"Subscription model, library outreach, school fairs",Independent kids’ magazine
Mirror Mirror Magazine,"Newark, United States",www.mirrormirrormagazine.com,"Poetry, Photography, Performing Arts, Music, Movie, Entertainment, Art",Multi,35,2023,Winter,Y,N,N,N,N,N,None,N,N,Submissions for creative works coverage; see editorial guidelines,"Online distribution, cultural events, social media",Indie arts magazine featuring emerging artists
Vasz Books,"Yonkers, United States",www.vaszbooks.com,"Spirituality, Self-Help, Religion, Reference, Education, Business",Multi,100,2023,Fall,Y,N,N,N,N,N,None,N,N,Open to personal development & business; see site for guidelines,"Online marketing, library channels, collaboration w/ speakers",Small press bridging spirituality and business
Macaw Books,"Fairfax, United States",www.macawbooks.com,Children's,Children's,50,2024,Fall,N,Y,N,N,N,N,None,N,N,Focus on illustrated kids’ books; see site for sub guidelines,"Global distribution in kids’ markets, schools, fairs",Known for vibrant board/picture books
Highlights for Children,"Marblehead, United States",www.highlights.com,"Teaching, Picture Books, Juvenile, Education, Crafts, Children's",Multi,35,2021,Summer,Y,N,N,N,N,N,None,N,N,Magazine primarily; open to short stories/activities for kids,"Huge subscription base, library distribution, school presence",Iconic children’s magazine brand with puzzle/educational features
Aberdeen Bay,"Alexandria, United States",www.aberdeenbay.com,"Literature, Health, Fitness, Finance, Family, Business, Biography",Multi,100,2021,Spring,Y,N,N,N,N,N,None,N,N,Focus on mainstream nonfic/fiction proposals; see guidelines,"Online marketing, local signings, library distribution",Indie with diverse adult nonfiction/fiction
Vernon Press,"Wilmington, United States",www.vernonpress.com,"Academic, History, Government, Gender Studies, Education, Economics, Cultural Studies, College",Multi,35,2023,Summer,N,N,N,Y,N,Y,None,N,N,"Peer-reviewed scholarly submissions, see guidelines","Academic conferences, library networks, direct to professors",Rising academic press with interdisciplinary approach
"Keynote Books, LLC","Upper Montclair, United States",https://www.keynote-books.com/,"Memoir, Medical, History, Health",Multi,50,2019,Spring,Y,Y,N,N,N,N,None,N,N,Open to medical memoirs/health topics; queries via email,"Health events, library distribution, direct marketing",Niche for personal/medical narratives
University Press Audiobooks,"Mendocino, United States",www.universitypressaudiobooks.com,"Academic, Social Sciences, Science, Politics, Political Science, Poetry, Philosophy, Performing Arts",Multi,35,2024,Spring,Y,N,N,N,Y,Y,None,N,N,Audiobook versions of scholarly works; proposals from authors/publishers,"Academic library licensing, digital audiobook platforms",Specialized in turning academic content into audio
Delta Publishing Company,"McHenry, United States",www.deltaeducation.com,"Text, Teaching, School, Picture Books, Parenting, Language, Juvenile, Foreign Language",Multi,35,2022,Spring,Y,Y,N,N,N,N,None,N,N,"K-12 ESL, foreign language focus; see site","Education channels, foreign language associations, direct marketing","ESL/foreign language specialties, widely used in schools"
Discover the Ultimate Travel Magazine,"Las Vegas, United States",https://www.ultimatetravelmagazine.com/,"Travel, Family",Multi,50,2023,Spring,N,Y,N,N,N,N,None,N,N,Primarily magazine content; occasional special feature submissions,"Travel expos, direct subscriptions, online marketing",Niche travel magazine featuring destinations/family tips
AMZ Publications,United States,www.amzpublications.com,"History, Business",Multi,35,2024,Summer,Y,Y,N,N,N,N,None,N,N,Open to business & historical manuscripts; see guidelines,"Online distribution, direct corporate marketing, library channels",Small publisher focusing on practical business/history topics
Written World Communications,"Colorado Springs, United States",www.writtenworldcommunications.com,"Thriller, Spirituality, Self-Help, Romance, Religion, Novel, Juvenile, Graphic Novel",Multi,35,2022,Summer,Y,N,N,N,N,N,Christian,N,N,Christian/spiritual leaning in some imprints; see site,"Online marketing, multi-genre approach, small bookstore outreach",Indie press with several genre imprints
Papoose Publishing LLC,"Southbury, United States",https://papoosepublishing.com/,Health,Health,35,2020,Spring,Y,N,N,N,N,N,None,N,N,Medical/health emphasis; open to consumer-oriented proposals,"Medical networks, online channels, library distribution",Small health-focused press
FutureClaw Magazine,"New York, United States",www.futureclaw.com,"Performing Arts, Law, Art",Multi,35,2019,Fall,N,N,N,N,N,N,None,N,N,High-fashion/art magazine; submissions for photo/editorial features,"High-end fashion/art distribution, events, social media",Glossy publication featuring avant-garde topics
Cerebro Press,"Knoxville, United States",https://publishersarchive.com/publisher/10870,"Science, Fiction",Multi,35,2024,Summer,Y,N,N,N,N,N,None,N,N,Focus on scientific thrillers/hard sci-fi; queries welcome,"Sci-fi cons, library marketing, online distribution",Small press bridging science and fictional narratives
Ramblin/Rose Publications,"North Yarmouth, United States",https://www.abebooks.com/book-search/vi/1471502/,"Text, Art",Multi,35,2019,Summer,Y,Y,N,N,N,N,None,N,N,"Regional art/educational titles, see submission guidelines","Local arts events, indie stores, library distribution",Small Maine-based publisher focusing on local authors
MJM Books,"Chandler, United States",https://www.facebook.com/authormichaeljosephmiller/,Children's,Children's,35,2022,Spring,N,Y,N,N,N,N,None,N,N,Focus on children’s picture/board books; see site,"Library distribution, kids’ fairs, online marketing",Boutique kids’ publisher
Fairchild Books,"New York, United States",www.fairchildbooks.com,"Design, Art",Multi,35,2022,Summer,Y,N,N,N,Y,Y,None,N,N,Focus on fashion/design textbooks; proposals from academics,"Fashion schools, academic library distribution, conferences","Imprint of Bloomsbury, recognized in fashion education"
Transformation Media Books,"Bloomington, United States",www.transformationmediabooks.com,"Spirituality, Psychology, Philosophy, Memoir, Lifestyle, Inspirational, How To, Health",Multi,35,2022,Summer,N,Y,N,N,N,N,Spiritual,N,N,Emphasis on transformation/spiritual living topics; queries welcome,"Self-help conferences, retreat centers, online marketing",Small spiritual/lifestyle press
South Eastern Publishers,"Washington, United States",https://southeastpublications.com/,,,500,2023,Fall,Y,Y,N,N,N,N,None,N,N,No specific sub guidelines found—open to multi-genre proposals,"Online/retail distribution, library channels, social media",Broad-based publisher with multiple imprints
Plus One Press,"San Francisco, United States",www.plusonepress.com,"Romance, Performing Arts, Music, Literature, Juvenile, Hobby, History, Health",Multi,200,2023,Winter,Y,N,N,N,N,N,None,N,N,Open to wide variety of submissions; see website,"Indie distribution, online sales, local events",Small press with eclectic list
Lutheran University Press,"Minneapolis, United States",www.lutheranupress.org,"Academic, Spirituality, Religion, Relationship, Reference, Photography, Parenting, Music",Multi,400,2024,Summer,N,N,N,N,Y,Y,None,N,N,Scholarly & general Lutheran works; proposals from theologians/educators,"Church/university channels, library distribution",Recognized in Lutheran academia & congregations
Korloki Publishing Company,"Brooklyn, United States",https://www.facebook.com/p/Korloki-Publishers-Inc-100072286434992/,,,150,2021,Spring,N,Y,N,N,N,N,None,N,N,"Limited info; possibly multi-genre, see website if available","Online distribution, local marketing, small press fairs","Niche press, minimal public data"
Magic World Media,United States,https://www.facebook.com/magicworldmedia/,"Science, Picture Books, Fiction, Children's",Multi,300,2020,Winter,Y,N,N,N,N,N,None,N,N,Children’s STEM focus; see guidelines for teacher/author collabs,"Education channels, kids’ fairs, library marketing",Small educational children’s press
Red Rock Press,"New York, United States",www.redrockpress.com,"Relationship, Reference, Picture Books, Pets, Parenting, Juvenile, Family, Classics",Multi,250,2019,Summer,Y,N,N,N,Y,N,None,N,N,"Eclectic mix, open to proposals via email query","Independent bookstores, direct marketing, library channels",Known for illustrated gift books & cooking/crafts anthologies
Better Karma Publishing,"Alexandria, United States",https://bookscouter.com/publisher/better-karma-publishing,,,50,2020,Summer,Y,Y,N,N,N,N,Spiritual,N,N,Spiritual/inspirational self-help queries welcomed,"Online marketing, new age fairs, small press distribution",Small press aiming at better living/spiritual growth
Building Voices,"Torrance, United States",https://buildingvoices.com/,"Young Adult, Teaching, Picture Books, Juvenile, Inspirational, Fiction, Education, Children's",Multi,75,2020,Summer,Y,Y,N,N,N,N,None,N,N,Focus on positivity in children’s/YA books; queries open,"School visits, library distribution, direct marketing",Inspirational children’s/YA press
Biblio Publishing,"Columbus, United States",www.bibliopublishing.com,"Academic, Spirituality, Self-Help, Science, Political Science, Philosophy, Film, Fiction",Multi,100,2020,Summer,Y,N,N,N,N,N,None,N,N,Offers POD/printing for multiple genres; see submission guidelines,"Online bookstore, library distribution, author events",Hybrid services plus standard publishing lines
Brick Mantel Books,"Bloomington, United States",www.brickmantelbooks.com,"Poetry, Novel, Literary Fiction, Fiction, Contemporary",Multi,50,2023,Spring,N,N,N,N,N,N,None,N,N,Focus on literary/experimental works; reading periods posted on site,"Lit festivals, small press distribution, social media",Small indie specializing in literary fiction/poetry
Nova Vista Publishing,"Portland, United States",www.novavistapub.com,"Picture Books, Nature, Natural History, Music, History, Economics, College, Business",Multi,300,2023,Summer,Y,Y,N,N,Y,Y,None,N,N,Academic & trade titles on various topics; proposals welcome,"Academic marketing, library distribution, conferences",Indie press bridging academic and trade markets
"Softplay, Inc.","Chicago, United States",https://pitchbook.com/profiles/company/51024-07,"Language, Children's",Multi,150,2021,Fall,Y,N,N,N,N,N,None,N,Y,Mainly children’s plush/board book packages; limited open calls,"Toy stores, children’s libraries, direct marketing","Known for soft, plush children’s book sets"
"Gryphon House, Inc.","Lewisville, United States",www.gryphonhouse.com,"Education, Children's",Multi,250,2021,Summer,Y,N,N,N,N,N,None,N,N,"Focus on early childhood education, see guidelines","Preschool conferences, teacher supply channels, library marketing",Award-winning early ed publisher
Intermedia Publishing Group,"PEORIA, United States",https://www.ipgbook.com/intermedia-publishing-services-publisher-PPA.php,,,100,2021,Summer,Y,N,N,N,N,N,None,N,N,Likely hybrid model; see website for detail,"Online distribution, some bookstore presence",Small press offering collaboration services
Edgeucational Publishing,"New York, United States",https://www.facebook.com/p/Edgeucational-Publishing-100076128062198/,"Science, School, Mathematics, Language, Juvenile, Games, Foreign Language, Family",Multi,200,2021,Spring,Y,Y,N,N,Y,N,None,N,N,Focus on innovative K-12 materials/games; proposals welcomed,"School adoption, library distribution, educational fairs",Creative “edutainment” approach
Kadimah Press,"New York, United States",http://www.kadimapress.com/,Literature,Literature,75,2020,Summer,Y,N,N,N,N,N,Jewish,N,N,"Jewish literary/cultural emphasis, see site for queries","Jewish community events, library distribution, synagogue channels",Small press focusing on Jewish culture/literature
Hungry Bookworm,"Los Angeles, United States",https://www.hungry-bookworm.com/,,,125,2019,Summer,N,N,N,N,N,N,None,N,N,"Minimal info found, possibly children’s or general interest","Local events, online marketing, small distribution",Small press with limited public data
Borderline Publishing,"Boise, United States",https://www.borderlinepress.com/,"Science, Novel, Graphic Novel, Fiction, Family, Education, Economics, Drama",Multi,50,2023,Fall,Y,N,N,N,N,N,None,N,N,Open to wide range; see site if operational,"Online marketing, small press fairs, library distribution",Indie press with multi-genre approach
Discover the Ultimate Dining Magazine,"Las Vegas, United States",https://www.finedininglovers.com/,"Food, Cookbook",Multi,200,2022,Winter,Y,N,N,N,N,N,None,N,N,"Magazine format; open to featured chefs/recipes, see site","Restaurant industry events, online subscription, trade shows",Sister publication to Ultimate Travel; culinary focus
Early Light Books,"Waynesville, United States",https://www.publishersglobal.com/directory/publisher-profile/20464,"Science, Children's",Multi,50,2021,Winter,N,Y,N,N,N,N,None,N,N,STEM children’s books; partial or full MS upon request,"Teacher conferences, library distribution, science fairs",Focus on kids’ science literacy
Jorge Pinto Books Inc.,"New York, United States",www.jorgepintobooks.com,"Academic, Multicultural, Biography",Multi,150,2021,Fall,Y,Y,N,N,Y,Y,None,N,N,Focus on cross-cultural academic & biography topics; proposals welcomed,"Academic distribution, cultural events, library networks",Small multicultural imprint publishing academic/biographical works
KBA Publishing Inc,"Woburn, United States",https://www.publishersglobal.com/directory/publisher-profile/20740,"Self-Help, Picture Books, Parenting, Health, Family, Education, Children's",Multi,300,2023,Spring,Y,N,N,N,N,N,None,N,N,Open to family/children’s/wellness proposals; see site,"Direct marketing, library channels, online store",Small family wellness/children’s press
MSI Press,"Hollister, United States",www.msipress.com,"Teaching, Spirituality, Religion, Language, Foreign Language, Education, College, Biography",Multi,200,2019,Winter,N,Y,N,N,Y,Y,None,N,N,Semi-academic approach; see site for proposal guidelines,"Library distribution, online marketing, small academic networks",Indie academic/spiritual press
"Dancing Lmeur Press, L.L.C.","Pikeville, United States",https://www.dancinglemurpressllc.com/,"Young Adult, Self-Help, Science Fiction, Romance, Relationship, Mystery, Inspirational, General Fiction",Multi,150,2019,Fall,Y,Y,N,N,N,N,None,N,N,Open to broad genre proposals; check site for reading periods,"Online distribution, small press events, social media",Indie with multi-genre lineup
Tree of Knowledge Press: We Educate Children One Child at a TIme,"New York, United States",https://www.publishersglobal.com/directory/publisher-profile/20036,"Academic, School, Education",Multi,250,2022,Fall,Y,N,N,N,N,N,None,N,N,K-12 educational resources; see guidelines for subjects,"School adoption, library channels, teacher fairs",Small educational publisher
Quill House Publishers,"Edina, United States",https://www.quill-house.com/,"Sports, Religion, Poetry, Parenting, Juvenile, Hobby, Health, Family",Multi,75,2024,Fall,Y,Y,N,N,N,N,None,N,Y,Open calls in lifestyle/family/hobby topics; queries welcome,"Local store signings, library outreach, direct marketing",Regional press with broad family/hobby focus
Alfresco Press,"Seminole, United States",https://www.publishersglobal.com/directory/publisher-profile/21666,"Short Story, Science Fiction, Novel, Literature, Literary Fiction, Historical Fiction, Fiction, Fantasy",Multi,150,2020,Spring,N,Y,N,N,N,N,None,N,N,Accepts queries for adult fiction & SFF; see site,"Online marketing, indie store distribution, small press fairs",Eclectic fiction focus
First Run Publishing,"Upland, United States",https://www.facebook.com/indiePubPodcast/,"Theology, Spirituality, Romance, Religion, Poetry, Novel, Juvenile, Graphic Novel",Multi,100,2024,Spring,Y,Y,N,N,N,N,Christian,N,N,"Christian/spiritual orientation, plus broad fiction; queries welcome","Church channels, library distribution, social media",Small Christian press with expansions into general fiction
Crown House Publishing LLC,"Bethel, United States",www.crownhousepublishing.com,"Self-Help, Psychology, Education, Business",Multi,400,2024,Winter,Y,Y,N,N,N,N,None,N,N,"Focus on NLP, hypnosis, personal development; see guidelines","Professional training events, self-help conferences, library marketing",Well-known in NLP/hypnotherapy circles; various professional awards
DreamFusion Press,United States,https://www.dreamfusionpress.com/,"Cultural Studies, Criticism, Crime, Crafts, Cookbook, Contemporary, Commercial Fiction, Classics",Multi,200,2023,Winter,N,N,N,N,N,N,None,N,N,"Open to cross-cultural proposals, see guidelines","Online marketing, small bookstore events, library distribution",Small press spanning multiple nonfiction & fiction categories
"Small Dogma Publishing, Inc.","Lakeland, United States",https://smalldogma.wordpress.com/,"Thriller, Self-Help, Religion, Poetry, Literature, Business",Multi,100,2023,Fall,Y,N,N,N,N,N,None,N,N,Open to adult fiction & motivational nonfic; queries by email,"Online distribution, social media, library marketing",Indie multi-genre press
Bracket Books,"New York, United States",https://www.bracketpublishing.com/,"Photography, Novel, Literary Fiction, General Fiction, Fiction, Commercial Fiction, Biography",Multi,300,2023,Winter,Y,N,N,N,N,N,None,N,N,Focus on quality photography/art crossovers & literary fiction,"Art events, library distribution, indie bookstore marketing",Artistic/literary small press
Tuxedo Publishing,"Springfield, United States",https://tuxedomusicpublishing.com/,"Academic, Teaching, Science, School, Education, College",Multi,200,2023,Summer,Y,Y,N,N,N,N,None,N,N,"K-12/college educational proposals, see guidelines","School boards, academic conferences, direct marketing",Niche educational publisher
New Worlds Fiction,"Hillsborough, United States",http://www.luminist.org/archives/SF/NW.htm,"Science Fiction, Science, Poetry, Fiction, Fantasy",Multi,400,2021,Spring,N,Y,N,N,N,N,None,N,N,SFF with some “science fact” elements; queries welcome,"Sci-fi cons, small press distribution, online sales",Small SFF press bridging real science & fiction
Romeii eBook Publishing,"Hudson, United States",https://www.publishersglobal.com/directory/publisher-profile/20334,,,50,2020,Spring,Y,N,N,N,N,N,None,N,N,"Digital-only, open to short manuscripts and e-book expansions","E-book platforms, social media marketing, direct website sales",Digital-focused micro press
Harper Davis Publishers,"Colorado Springs, United States",https://www.publishersglobal.com/directory/publisher-profile/19876,"Travel, Spirituality, Relationship, Poetry, Philosophy, Literature, Family, Education",Multi,100,2021,Spring,Y,Y,N,N,Y,N,Spiritual,N,N,Broad lifestyle/spiritual range; proposals via email,"Online marketing, library distribution, local events","Small press bridging travel, spirituality, family topics"
Mythis Books,United States,https://www.chroniclebooks.com/products/mythos?srsltid=AfmBOopFZpH7vSUILhP81XbIryXbmJWU9WQ3xsXf5yceyLedapFql-dC,"Thriller, Romance, Fiction",Multi,150,2021,Winter,Y,Y,N,N,N,N,None,N,N,Pop fiction in romance/thriller categories; see site for calls,"Social media, online storefront, library distribution",Genre-focused small press
Logos Press,"Niagara Falls, United States",https://logospressonline.com/,"Text, Technology, Science, Reference, Nature, Medical, Law, Education",Multi,75,2022,Fall,N,N,N,N,N,Y,None,N,N,"Academic/technical references, see submission guidelines","Libraries, academic conferences, specialized retail",Small technical/academic imprint
Compact Medical Guides,"Goldenrod, United States",https://mdpocket.com/reference-guides?srsltid=AfmBOoqgzG4RP79EF7t5TQZ1P1AWNtTF_mp9KGgqAMy29mZcxKu-zyCi,Health,Health,200,2023,Spring,Y,N,N,N,N,N,None,N,N,Consumer-friendly medical reference proposals; see site,"Healthcare events, libraries, direct marketing",Produces concise medical guides for general readers
"Sunbelt Publications, Inc","San Diego, United States",www.sunbeltpub.com,,,100,2023,Summer,Y,N,N,N,N,N,None,N,N,Focus on southwestern US nature/travel/culture; queries welcome,"Local tourist centers, regional libraries, trade shows",Regional press for southwestern topics
Just For Kids Press,"Linden, United States",https://www.publishersglobal.com/directory/publisher-profile/21793,"Picture Books, Juvenile, Children's",Multi,150,2022,Spring,N,Y,N,N,N,N,None,N,N,Focus on illustrated children’s titles; see guidelines,"Children’s retailers, library distribution, school fairs",Indie kids’ publisher
iLAB America Inc.,"Selden, United States",www.ilabamerica.com,Children's,Children's,200,2019,Fall,Y,Y,N,N,N,N,None,N,N,Open to new children’s authors; see submission form,"Online marketing, direct library outreach, kids’ fairs",Small children’s press
Crazy Turkey Productions,"Valley Park, United States",https://br.linkedin.com/company/crazy-turkey-productions?trk=public_profile_experience-item_profile-section-card_image-click,Religion,Religion,300,2019,Summer,Y,N,N,N,N,N,None,N,N,Humorous or alternative religious-themed content; see site,"Online distribution, social media, comedic/church events",Quirky press bridging humor & religion
Best Sellers Publishing,"Minneapolis, United States",https://bestsellerpublishing.org/,Business,Business,75,2022,Summer,Y,N,N,N,Y,N,None,N,N,Focus on business success authors; see site for proposal form,"Online marketing, corporate events, library outreach",Business book marketing specialist
TPI Network,"Pittsburgh, United States",https://www.publishersglobal.com/directory/publisher-profile/20076,"Education, Economics, Drama, Diet, Current Affairs, Criticism, Crafts, Cookbook",Multi,150,2022,Winter,Y,Y,N,N,Y,N,None,N,N,Wide range of niches; proposals welcome via website,"Varied distribution, library channels, social media",Indie network with broad nonfiction offerings
"Cool Well Press, Inc.","Newport, United States",http://www.coolwellpress.com/,"Science, Fiction",Multi,50,2019,Spring,N,N,N,N,N,N,None,N,N,Emphasis on teen/YA sci-fi & fantasy; see site if active,"Online direct sales, library marketing, social media",Small SFF/teen press
Nightengale Press,"Mequon, United States",http://www.nightengalepress.com/,"Thriller, Spirituality, Self-Help, Romance, Relationship, Picture Books, Parenting, Medical",Multi,250,2024,Winter,Y,N,N,N,N,N,None,N,N,Hybrid approach for self-help/genre fiction; see guidelines,"Online marketing, bookstore signings, library distribution","Indie press bridging spiritual, romance, & parenting"
Jalmar Press,"Fawnskin, United States",www.jalmarpress.com,"Teaching, School, Psychology, Education, Children's",Multi,100,2019,Spring,N,N,N,N,N,N,None,N,N,Focus on early childhood/SEL materials; see site,"Teacher conferences, library channels, direct marketing",Noted for SEL/psych resources in classroom
The American Institute for Central European Legal Studies,"Rincon, United States",https://www.publishersglobal.com/directory/publisher-profile/19807?utm_source=chatgpt.com,Law,Law,200,2019,Winter,Y,Y,N,N,N,N,None,N,N,Legal monographs focusing on Central European topics; see site,"Academic law libraries, legal conferences, direct distribution",Specialized legal publisher
Discover the Ultimate Health Magazine,"Las Vegas, United States",https://discoverultimatehealth.com/.,Health,Health,75,2024,Winter,Y,Y,N,N,N,N,None,N,N,Magazine format; open to wellness articles/columns,"Health expos, subscription, library marketing",Sister publication to Ultimate Travel & Dining
JG Press,"East Bridgewater, United States",https://openlibrary.org/publishers/JG_Press,"Transportation, Sports, Language, History, Foreign Language, Film, Art",Multi,150,2020,Fall,N,N,N,N,N,N,None,N,Y,Mostly packaging existing licensed content; minimal open calls,"Retailers, museums, gift shops, library distribution",Book packaging group known for illustrated references
ZB Printing,"SAN FRANCISCO, United States",https://www.zbprinting.com/,"Poetry, Design, Business",Multi,50,2022,Fall,Y,Y,N,N,N,N,None,N,N,Printing/packaging services + small press line; queries welcome,"Small press distribution, local business tie-ins, events",Hybrid printer/publisher focusing on design & poetry
"Only Believe Publishing, LLC","Motley, United States",https://onlybelieve.com/,Religion,Religion,100,2022,Fall,Y,N,N,N,N,N,Christian,N,N,"Christian devotionals, faith-based proposals","Church channels, direct marketing, ministry events",Small Christian press
TechPress Inc.,"Paradise Valley, United States",https://www.linkedin.com/company/techpress-inc,"Sports, Self-Help",Multi,50,2020,Winter,Y,Y,N,N,N,N,None,N,N,Technology-based approach to sports/self-help topics; see site,"Online marketing, sports conferences, social media",Niche press bridging sports performance & tech
